one,一,eins,
change (v.),變,sich verändern,sich wandeln
scripture,經,klassische Schrift,Leitfaden
lightweight (adj.),輕,leicht,leichtgewichtig
behind,後,hinten,hinter
how many?,幾,wie viele?,
machine,機,Maschine,
sever,斷,unterbrechen,durchtrennen
carry on,繼,fortsetzen,
obvious,顯,offensichtlich,
music,樂,Musik,
medicine,藥,Arznei,
chicken,雞,Huhn,
(suffix),麼,(Suffix),(Endsilbe)
lineage,系,Stammbaum,Fachbereich
relate to,係,gehen um,um etwas handeln
grandchild,孫,Enkel,
withdraw,卻,zurückweichen,zögern
foot,腳,Fuß,
apparel,服,Kleidung,Kleider
fate,命,Schicksal,
stay (v.),留,bleiben,
slide (v.),溜,gleiten,
chat (v.),聊,plaudern,
willow,柳,Weidenbaum,
orders (n.),令,Befehl,
cold,冷,kalt,eiskalt
zero,零,Null,null
collar (n.),領,Kragen,
communicate,通,kommunizieren,in Verbindung stehen
courageous,勇,mutig,
criminal (n.),犯,Verbrecher,Straftäter
danger,危,gefährlich,
fragile,脆,brüchig,
print (n./v.),印,drucken,
excitement,興,Begeisterung,Freude
liquor,酒,Alkohol,
distribute,配,zuordnen,verteilen
chieftain,酋,Häuptling,
venerate (v.),尊,ehren,hochachten
abide by,遵,befolgen,einhalten
beans,豆,Bohne,
head (n.),頭,Kopf,
short,短,kurz,
ceremony,禮,Ritual,Zeremonie
body,體,Körper,
drum,鼓,Trommel,
joyful,喜,freudig(es Ereignis),
kitchen,廚,Küche,
timber,樹,Baum,
blood,血,Blut,
exhausted,盡,ganz aufgebraucht,
to the utmost,儘,so sehr wie möglich,
lid,蓋,Deckel,
temperature,溫,Temperatur,
supervise,監,überwachen,
basket,籃,Korb,
blue,藍,blau,
silver,銀,Silber,
heel (n./v.),跟,Ferse,
very,很,sehr,
root (n.),根,Wurzel,
immediately,即,unmittelbar,
holiday,節,Feiertag,
retreat (v.),退,sich zurückziehen,
leg,腿,Bein,
limit (n./v.),限,beschränken,
eyelet,眼,Öse,
high-quality (adj.),良,von guter Qualität,
breakers,浪,Woge,
mom,娘,Mutti,
food,食,Essen,
meal,飯,Mahlzeit,
dine,餐,speisen,
Bldg.,館,Gbde.,
raise (v.),養,großziehen,
since,既,da,
approximate (adj.),概,im Großen und Ganzen,ungefähr
even (adj.),平,eben,flach
evaluate,評,kommentieren,
level ground,坪,ebene Fläche,Flachland
ooh!,乎,Oh!,
shout (v.),呼,ausatmen,
hope (v.),希,hoffen,
scarce,稀,spärlich,
study (v.),學,studieren,
senses (n.),覺,Sinne,
stir (v.),攪,rühren,
sinister,凶,unheildrohend,verhängnisvoll
cruel,兇,grausam,brutal
bosom,胸,Brust,
leave (v.),離,verlassen (V.),
fowl,禽,Geflügel,
peppery,辛,würzig,scharf
manage,辦,erledigen,bearbeiten
dispute (v.),辯,debattieren,
partition (n.),壁,Trennwand,Mauer
evade,避,ausweichen,
new,新,neu,
fuel,薪,Brennstoff,
relatives,親,Verwandter,
inner garments,襯,Futterstoff,Unterwäsche
good fortune,幸,glücklicher Umstand,
clench (v.),執,festhalten,in der Hand halten
newspaper,報,Zeitung,
call (v.),叫,rufen,nennen
receive,收,entgegennehmen,
land (n.),陸,Festland,
force (n.),勢,Macht,Einfluss
heat (n./v.),熱,Wärme,Hitze
technique,藝,Kunstfertigkeit,Fertigkeit
sign of the pig,亥,Zeichen des Schweins,
nucleus,核,Kern,
tot,孩,Knirps,Kind
carve,刻,schnitzen,
should,該,sollen,
narrate,述,erzählen,
art,術,Kunst,
kill,殺,töten,
aid (v.),襄,fördern,
yield,讓,lassen,überlassen
territory,壤,Gebiet,Territorium
frigid,寒,kalt,
competition,賽,Wettkampf,
poison (n.),毒,Gift,
vegetarian diet,素,vegetarische Kost,
blue or green,青,grün-blau,
refined,精,raffiniert,verfeinert
invite,請,bitten,einladen
feelings,情,Gefühl,
eyeball,睛,Augapfel,
pure,清,rein,
quiet,靜,ruhig,
responsibility,責,Pflicht,Verantwortung
accomplishments,績,Verdienst,
accumulate,積,aufhäufen,anhäufen
surface (n.),表,Oberfläche,
watch (n.),錶,Uhr,Armbanduhr
life,生,Leben,
star (n.),星,Stern,
surname,姓,Familienname,Nachname
sex,性,Geschlecht,
harm (n./v.),害,Schaden,Schädigung
cut off (v.),割,abschneiden,
intelligent,慧,intelligent,
plentiful,豐,reichlich,Fülle
springtime,春,Frühling,
tranquil,泰,Thailand,
proffer (v.),奉,darbieten,darbringen
cudgel (n.),棒,Knüppel,
diligent,勤,fleißig,
careful,謹,vorsichtig,
merely,僅,bloß,lediglich
Han,漢,Han,
difficult,難,schwierig,
vendor‘s stand,攤,Verkaufsstand,Kiosk
splendor,華,Pracht,
clamor (n.),嘩,Krach,
droop,垂,herabhängen,
hammer (n.),錘,Hammer,
sleep (v.),睡,schlafen,
now,今,Gegenwart,jetzt
harbor (v.),含,etw. im Mund haben,in sich bergen
miss (v.),念,vermissen,
Yin,陰,Yin,
shady,蔭,schattig,
west,西,Westen,
want (v.),要,wollen,
waist,腰,Taille,
ticket,票,Eintrittskarte,
drift (v.),漂,dahintreiben,
mark (n.),標,Kennzeichnung,
merchant,賈,Kaufmann,
price,價,Preis,
smoke (n.),煙,Rauch,
south,南,Süden,
gate,門,Tor,
(plural),們,(Mehrzahl),
leisure,閒,müßig,
ask,問,fragen,
interval,間,Intervall,Zwischenraum
simple,簡,einfach,
open (v.),開,öffnen,
hear,聞,hören,
storehouse,倉,Speicher,
gun,槍,Gewehr,
initiate (v.),創,etwas Neues kreieren,
non-,非,nicht entsprechen,un-
row (n.),排,Reihe,
guilt,罪,Sünde,Schuld
lean on,靠,sich anlehnen,
marquis,侯,Fürst,
wait (v.),候,warten,
decide,決,entscheiden,
fast (adj.),快,schnell,
chopsticks,筷,Essstäbchen,
tanned hide,韋,gegerbtes Leder,
surround,圍,einkreisen,umzingeln
great,偉,großartig,bedeutend
defend,衛,verteidigen,
offend (v.),干,vor den Kopf stoßen,zu nahe treten
shore,岸,Ufer,
trunk,幹,Stamm,
drought,旱,Dürre,
hurry (v.),趕,eilen,
Yu,于,Yu,
eaves,宇,Dachüberstand,
moi,余,moi,
excess,餘,Rest,Überschuss
eliminate,除,beseitigen,
route (n.),途,Strecke,
bundle up,束,bündeln,Bündel
quick,速,geschwind,Geschwindigkeit
spicy hot,辣,beißend,scharf schmeckend
entire,整,vollständig,gesamt
practice (v.),練,üben,trainieren
opt for,揀,auswählen,aussuchen
heavy,重,schwergewichtig,
understand,懂,kapieren,
move (v.),動,sich bewegen,bewegen
species,種,Sorte,
collide,衝,Konflikt,
illness,病,Krankheit,
ache (v.),痛,Schmerz,schmerzen
insane,瘋,geisteskrank,
match (v.),匹,ebenbürtig sein,
region,區,Region,
hub,樞,Dreh- und Angelpunkt,
Europe,歐,Europa,
physician,醫,Arzt,
look up to,仰,zu jmdm. aufschauen,
greet,迎,begrüßen,
ascend,登,besteigen,hinaufsteigen
lamp,燈,Leuchte,
evidence,證,Beweis,
send out,發,aussenden,
discard (v.),廢,abschaffen,
shape (n.),形,Form,Gestalt
shadow (n.),影,Schatten,
hue,彩,bunte Farben,
have to,須,man muss,
rare,珍,kostbar,selten
participate,參,teilnehmen,
wretched,慘,jämmerlich,erbarmungswürdig
repair (v.),修,reparieren,
literature,文,Schrift,
mosquito,蚊,Mücke,
erudite,彥,Gelehrter,
countenance (n.),顏,Antlitz,
products,產,Produkt,
rate (n.),率,Quote,Rate
tumble (v.),摔,Sturz,
center,央,Zentrum,
England,英,England,
crust,巴,Kruste,
grasp (v.),把,greifen,Henkel
papa,爸,Papa,
bar (n.),吧,Bar,
color (n.),色,Farbe,
discontinue,絕,abbrechen,
sweet,甘,süß,lieblich
such and such (adj.),某,gewisser,
his-hers-its-theirs,其,ihr sein,
period of time,期,Periode,
base (n.),基,Grundlage,
Sphinx,斯,Sphinx,
tremendously,甚,äußerst,in höchstem Maße
expensive,貴,teuer,
bequeath,遺,hinterlassen,
dance (n./v.),舞,Tanz,
nothing,無,nichts,
comfort (v.),撫,trösten,
moreover,且,außerdem,überdies
older sister,姐,ältere Schwester,
group (n.),組,Gruppe,
ancestor,祖,Vorfahr,Ahn
assist (v.),助,assistieren,
side by side,並,nebeneinander,
universal,普,universell,
profession,業,Beruf,Branche
that‘s right,對,das stimmt,
together,共,gemeinsam,
supply (n./v.),供,versorgen,bereitstellen
different,異,verschieden,andersartig
lane,巷,Gasse,
port (n.),港,Hafen,
choose,選,auswählen,wählen
well (n.),井,Brunnen,
Asia,亞,Asien,
evil (n./adj.),惡,böse,das Böse
angle,角,Ecke,Winkel
untie,解,aufschnüren,
orifice,嘴,Mündung,Öffnung
once more,再,noch einmal,nochmals
weigh,稱,abwiegen,
lecture (v.),講,erklären,eine Vortrag halten
frame (v.),構,konstruieren,formen
flat (adj.),扁,platt,
piece of writing,篇,Schriftstück,
compile,編,zusammenstellen,editieren
theory,論,Theorie,
wheel,輪,Rad,
canon,典,Standardwerk,Kanon
family name,氏,Familienname,
paper,紙,Papier,
dusk,昏,Abenddämmerung,
marriage,婚,Hochzeit,Ehe
low,低,niedrig,
bottom,底,Boden,
people,民,Volk,
slumber (n.),眠,Schlummer,
Fu,甫,Fu,
patch (v.),補,flicken,
knowledgeable,博,belesen,sehr gebildet
wrestle,搏,ringen,
metropolis,都,Metropole,
department,部,Teil,Abteilung
young man,郎,junger Mann,
countryside,鄉,auf dem Land,
echo (n.),響,Echo,
section (n.),段,Abschnitt,Segment
forge (v.),鍛,schmieden,
unreal,幻,Illusion,
take charge of,司,verwalten,
word (n.),詞,Wort,
boat,舟,Boot,
ship (n.),船,Schiff,
sort (n.),般,Art und Weise,
tray,盤,Teller,
relocate,搬,umziehen,
melon,瓜,Melone,
orphan,孤,Waise,
benefit (n.),益,Nutzen,
vacation (n.),假,Urlaub,Ferien
shrimp,蝦,Garnele,
air (n.),氣,Luft,
vapor,汽,Dampf,
fly (v.),飛,fliegen,
face-to-face,面,von Angesicht zu Angesicht,
noodles,麵,Nudel,
leather (n.),革,rohes Leder,
shoes,鞋,Schuh,
fragrant,馨,wohlriechend,
voice (n.),聲,Stimme,
Wu,吳,Wu,
amusement,娛,Vergnügung,
error,誤,Fehler,
undertake,承,(Verantwortung) übernehmen,fortführen
steam (v.),蒸,dämpfen,
tooth,牙,Zahn,
pass through,穿,durch etwas gehen,
wow!,呀,Oha!,(Überraschung)
explain,釋,interpretieren,
try (n.),番,Mal,
turn over,翻,umdrehen,
broadcast (v.),播,ausstrahlen,senden
fur,毛,Fell,
tail,尾,Schwanz,
dwelling (n.),宅,Heim,Wohnsitz
entrust,託,betrauen mit,
act (v.),為,handeln,
bogus,偽,gefälscht,
long,長,lang,
stretch (v.),張,spannen,
swell (v.),漲,aufquellen,
cover (n.),套,Hülle,
hair of the head,髮,Kopfhaar,
unfold,展,entfalten,
funeral,喪,Trauerfeier,
wild goose,雁,Wildgans,
ought to,應,es gebührt sich,
bird,鳥,Vogel,
hawk,鷹,Falke,
duck (n.),鴨,Ente,
island,島,Insel,
encounter (v.),遇,begegnen,
ten thousand,萬,zehntausend,
stride (v.),邁,schreiten,
ridge of a hill,岡,Hügelkamm,
just now,剛,gerade eben,soeben
deficient,缺,unzulänglich,
treasure (n.),寶,Schatz,
remote (adj.),遙,fern,Ferne
shake (v.),搖,schütteln,
rabbit,兔,Kaninchen,
flee,逸,fliehen,
avoid,免,vermeiden,
nightfall,晚,Abend,
elephant,象,Elefant,
likeness,像,Ebenbild,
horse,馬,Pferd,
mama,媽,Mama,
scold (v.),罵,schimpfen,
yes or no,嗎,ja oder nein,
check (v.),驗,überprüfen,testen
ride (v.),騎,reiten,
startled,驚,erschrocken,
tiger,虎,Tiger,
ponder,慮,bedenken,
location,處,Ort,Stelle
frolic,戲,Späße machen,
drama,劇,Theater,
certificate,據,Nachweis,
deer,鹿,Reh,
dust (n.),塵,Staub,
lovely,麗,hübsch,
bear (n.),熊,Bär,
ability,能,Fähigkeit,
attitude,態,Haltung,
sign of the tiger,寅,Zeichen des Tigers,
perform,演,aufführen,
sign of the dragon,辰,Zeichen des Drachens,
morning,晨,Morgen,
agriculture,農,Landwirtschaft,
concentrated,濃,dickflüssig,
deliver,送,bringen,
ghost,鬼,Gespenst,
demon,魔,Dämon,
lump (n.),塊,Klumpen,
dragon,龍,Drache,
raid (v.),襲,überraschend angreifen,
youngster,兒,Jugendlicher,
old,舊,alt,
write,寫,schreiben,
diarrhea,瀉,Durchfall,
dos,兩,zwo,
duo,倆,beide,
full,滿,voll,
you (literary),爾,du (literarisch),
fill (v.),彌,füllen,
false,虛,unecht,
unite,聯,vereinigen,
shut (v.),關,schließen,
that,那,jenes,
which?,哪,welches?,
witch,巫,Hexe,
spirit,靈,Geist,
county,縣,Landkreis,
suspend,懸,schwebend,
offer (v.),與,anbieten,
lift up,舉,heben,
brain,腦,Gehirn,
annoyed (adj.),惱,verärgert,
specialty,專,Spezialgebiet,
spread (v.),傳,verbreiten,überliefern
rotate,轉,drehen,
troupe (n.),團,Truppe,Regiment
yellow,黃,gelb,
extensive,廣,ausgedehnt,
horizontal,橫,waagerecht,
window,窗,Fenster,
general (adj.),總,total,
verbose,詹,wortreich,
assume,擔,eine Last auf die Schultern nehmen,
number (n.),數,Zahl,
multistory building,樓,Etagengebäude,
alone,獨,allein,
belong to,屬,zugehören,Kategorie
spoiled,爛,verdorben,
orchid,蘭,Orchidee,
follow,從,folgen,
vertical,縱,senkrecht,
identical,齊,symmetrisch,
relieve (v.),濟,beistehen,lindern
clown,丑,Clown,
twist (v.),扭,verdrehen,
lowly,卑,nieder,
brand (n.),牌,Marke,
appellation,號,Bezeichnung,
peculiar,怪,seltsam,sonderbar
crimson,赤,blutrot,karminrot
likewise,亦,ebenso,
extreme (n.),極,Extrem,
miscellaneous,雜,verschiedenartig,divers
sayeth,曰,äußern,
chaos,亂,Chaos,
trumpet (n.),叭,Trompete,
mutter,咕,murmeln,
we (inclusive),咱,wir (einschließend),
string together,串,auffädeln,
overspread (v.),罩,überziehen,
hubbub,囂,Krawall,Lärm
invert,顛,auf den Kopf stellen,
talkative,叨,geschwätzig,
scrape (v.),刮,schaben,
stare at,盯,starren,
rebuke (v.),呵,schelten,anschreien
adultery,姦,Unzucht,
baby,嬰,Säugling,Kleinkind
father‘s sister,姑,Tante väterlicherseits,
nanny,姆,Kindermädchen,Amme
cautious,兢,vorsichtig,achtsam
big,碩,gewaltig,riesengroß
lay brick,砌,mauern,
whistle (n.),哨,Signalpfeife,
sway (v.),晃,schwanken,
moor (v.),泊,vor Anker gehen,
get rid of,汰,aussondern,
soak,沾,benetzen,
insignificant,渺,unbedeutend,
gland,腺,Drüse,
level (adj.),坦,eben,
newborn (n.),娃,Baby,
bank (n.),涯,Uferkante,
inch,吋,Zoll,
elbow (n.),肘,Ellbogen,
scorch,灼,versengen,
stir-fry (v.),炒,pfannenrühren,
sprinkle,澆,begießen,
mile,哩,Meile,
carp (n.),鯉,Karpfen,
Hey!,嘿,Hey!,
cinnabar red,丹,Zinnober,
boisterous,喧,lärmend,
visitor,賓,Besucher,Gast
water's edge,濱,Ufer,Strand
widowed,寡,verwitwet,
shed (n.),棚,Schuppen,
cypress,柏,Zypresse,
thick stick,槓,Tragestange,Stange
flouds,朵,Blolken,
prevent,杜,verhindern,
cassia-bark tree,桂,chinesischer Zimtbaum,
chair,椅,Stuhl,
hero,杰,Held,
cherry,櫻,Kirsche,
treetops,梢,Zweigspitze,
paulownia,桐,Blauglockenbaum,
Song,宋,Song,
drench,淋,durchnässen,
burn (v.),焚,verbrennen,
obscure (adj./v.),昧,finster,unwissend
vermilion,朱,orangerot,
tree trunk,株,Baumstamm,
roof beam,樑,Dachbalken,
saucer,碟,Unterteller,
bud (v.),萌,keimen,
exacting,苛,übermäßig fordernd,streng
membrane,膜,Membran,
solitary,寞,verlassen (Adj.),einsam
sunset,暮,Sonnenuntergang,Abenddämmerung
ignite,燃,entzünden,
curse (v.),咒,verfluchen,
beast,獸,Bestie,wildes Tier
raccoon dog,狸,Marderhund,
sniff (v.),嗅,schnüffeln,
dude,牡,Männchen,
jail,牢,Knast,Gefängnis
succor (v.),贊,unterstützen,
abode,舍,Schlafsaal,Unterkunft
wha?,啥,wat?,
in agreement,洽,einig sein,übereinstimmen
thriving,旺,florierend,
green jade,碧,smaragdgrün,
tearful,汪,weite Wasserfläche,tränenerfüllt
crooked,枉,ungerecht,verfehlt
pearl,珠,Perle,
shocking,噩,entsetzlich,
crocodile,鱷,Krokodil,
fight (v.),鬥,kämpfen,
plug (n.),栓,Stöpsel,
pillar,柱,Säule,
hook (n./v.),鉤,Haken,
paper money,鈔,Geldschein,
put up for sale,銷,absetzen,
lock (n./v.),鎖,Schloss,
drill (n./v.),鑽,bohren,
compel,迫,zwingen,
press (v.),逼,drängen,
escape (v.),逃,fliehen,
flaunt,逞,zur Schau stellen,
rumble (n./v.),轟,Dröhnen,
rails,軌,Gleis,
flatten,軋,walzen,
spokes,輻,Speiche,
sauté (v.),煎,braten,
figure of speech,喻,Metapher,
elm,榆,Ulme,
abbreviation,略,Kürzel,
dizzy,暈,schwindelig,
muddled,渾,undurchsichtig,trüb
ointment,膏,Salbe,
go smoothly,亨,reibungslos verlaufen,
hum (v.),哼,summen,
honest,淳,ehrlich,
whale,鯨,Wal,
redeem,贖,erlösen,
daylight,晝,Tageslicht,
Tianjin,津,Tianjin,
smidgen,釐,winzige Menge,
small objects,枚,kleines Objekt,
herd (v.),牧,Tiere hüten,
rose,玫,Rose,
candid,敦,verlässlich,aufrichtig
promise (n.),諾,Versprechen,
meaning,謂,Bedeutung,Aussage
inquire,詢,sich erkundigen,
penalize,罰,bestrafen,
place an order,訂,bestellen,
chant (v.),詠,rezitieren,
espionage,諜,Spionage,
annotate,註,kommentieren,mit Anmerkungen versehen
forgive,諒,verzeihen,
praise (v.),讚,loben,preisen
II,貳,II,zwei (formal)
sick and tired of,膩,satt haben,überdrüssig sein
discharge (v.),洩,austreten,entweichen
paddle (v.),划,paddeln,
caw (n.),嘎,Krächzen,
domain,域,Gebiet,Bereich
sow (v.),栽,pflanzen,säen
kin,戚,Verwandtschaft,Kind und Kegel
despise,蔑,verachten,
yell (v.),喊,schreien,rufen
splatter (v.),濺,spritzen,
address (n.),址,Adresse,
astringent,澀,zusammenziehend,
apple,蘋,Apfel,
go to,赴,sich begeben,
trip,趟,(eine) Fahrt,
dike,堤,Deich,Damm
keyboard keys,鍵,Taste,
son-in-law,婿,Schwiegersohn,
tailor (v.),裁,maßschneidern,
socks,襪,Socken,
trundle (v.),滾,rollen,
decline (v.),衰,verfallen,schwinden
innermost feelings,衷,Herzensgrund,innerstes Empfinden
meditation,禪,Meditation,Zen
ape,猿,Menschenaffe,
dangle,吊,baumeln,
handkerchief,帕,Taschentuch,
note (n.),帖,Notiz,Mitteilung
sail (n.),帆,Segel,
width of cloth,幅,Stoffbahn,
brocade,錦,Brokat,
copious,沛,in Strömen,
persimmon,柿,Kaki,
stir up trouble,鬧,Unruhe stiften,Ärger machen
thorn bushes,棘,Dornengestrüpp,
jujube,棗,Jujube,chinesische Dattel
flower bud,蕾,Knospe,
gulp down,吞,schlingen,herunterschlingen
bewitching,妖,verführerisch,dämonisch
fertile,沃,fruchtbar,
sedan chair,轎,Sänfte,
garbage,垃,Müll,
weep aloud,啼,laut weinen,wehklagen
fruit stem,蒂,Fruchtstiel,
drip (v.),滴,tropfen,
100 Chinese acres,頃,100 chinesische Morgen,
spoon (n.),匙,Löffel,
well-behaved,乖,brav,artig
hitch a ride,乘,mitfahren,
leftover (adj.),剩,übrig,
club (n.),棍,Knüppel,
in accord,諧,harmonisch,im Einklang
firewood,柴,Brennholz,
quick-witted,敏,scharfsinnig,aufgeweckt
mildew (n.),霉,Schimmel,
so far,迄,bisher,
chop (v.),砍,hacken,fällen
hump (n.),坎,Unebenheit,Bodenerhebung
cook (v.),炊,kochen (über Feuer),
think highly of,欽,verehren,hochschätzen
cut open,剖,aufschneiden,sezieren
bodhisattva,菩,Bodhisattva,
mango,芒,Mangopflanze,
wasteland,荒,Ödland,Brachland
lie (n.),謊,Lüge,
boundless,茫,grenzenlos,unermesslich
win (v.),贏,gewinnen,
interrogate,訊,verhören,
workshop,坊,Werkstatt,
aromatic,芳,duftend,wohlriechend
call on,訪,aufsuchen,besuchen
stew (v.),熬,schmoren,einkochen
tobacco,菸,Tabak,Zigarette
roster,榜,Namensliste,Rangliste
pound (n.),磅,Pfund,
upper arm,膀,Oberarm,
sharp,銳,scharfkantig,spitz
rainbow,虹,Regenbogen,
bat (n.),蝠,Fledermaus,
frog,蛙,Frosch,
locust,蝗,Heuschrecke,
cicada,蟬,Zikade,
maple,楓,Ahorn,
placenta,胞,Zelle,Plazenta
fireworks,炮,Böller,Feuerwerkskörper
robe (n.),袍,Robe,Gewand
hail,雹,Hagel,
pursue,逐,jmdm. nachsetzen,verfolgen
satisfy,遂,erfüllen,zufriedenstellen
Mongolia,蒙,Mongolei,
dim (adj.),朦,schummrig,verschwommen
unrestrained,豪,unbändig,leidenschaftlich
peck (v.),啄,picken,
chisel (v.),琢,meißeln,feinschleifen
marry,嫁,heiraten (als Frau),
intestines,腸,Darm,
poplar,楊,Pappel,
scald,燙,verbrühen,
licentious,蕩,zügellos,lasterhaft
detailed,詳,detailliert,ausführlich
envy (v.),羨,beneiden,neidisch sein
solely,唯,einzig,
pile (n./v.),堆,Stapel,
apprehensive,焦,beunruhigt,besorgt
lay eyes on,瞧,gucken,einen Blick werfen
reef,礁,Riff,
banana,蕉,Banane,
sculpture,雕,gravieren,Skulptur
lop off,截,abschneiden,
allow,准,erlauben,genehmigen
sparrow,雀,Spatz,
all at once,霍,unversehens,plötzlich
exert oneself,奮,sich anstrengen,
take by force,奪,entreißen,wegnehmen
turn upward,翹,sich aufbiegen,hochstehen
fall down,塌,einstürzen,absacken
writing brush,翰,Schreibfeder,Schreibpinsel
throat,咽,Rachen,Kehle
in-law (adj.),姻,Schwieger-,
temple,廟,Tempel,
side room,廂,Seitenflügel,
(pause marker),嘛,(Pausenzeichen),Modalpartikel zur Betonung
grind (v.),磨,schleifen,mahlen
skyscraper,廈,Hochhaus,
toilet,廁,Toilette,
realize,悟,erkennen,erleuchtet werden
loyal,忠,loyal,treu
mourn,悼,trauern,
prudent,慎,umsichtig,vorsichtig
pardon (v.),恕,vergeben,verzeihen
noiseless,悄,geräuschlos,still
all of a sudden,恍,schlagartig,plötzlich
indolent,惰,träge,arbeitsscheu
immense,恢,immens,gewaltig
permanent,恆,dauerhaft,permanent
admire,慕,bewundern,
just right,恰,gerade recht,genau richtig
fearful,惶,voller Schrecken,verängstigt
overjoyed,愉,überglücklich,erfreut
more and more,愈,je mehr … desto …, zunehmend
be bewildered,惑,verwirrt,irregeführt
terror-stricken,怔,von Schrecken gepackt,schockstarr
be scared of,怖,Angst haben,sich fürchten vor
augment,添,hinzufügen,
be sorry about,悔,leidtun,
nervous,慌,nervös,panisch
delighted,悅,erfreut,hocherfreut
loathe,憎,nicht ausstehen können,
shun,忌,scheuen,meiden
thinking,惟,bloß,lediglich
be frightened,懼,sich fürchten,Angst haben vor
troubles,患,Probleme,Beschwerden
provoke,惹,hervorrufen,sich einhandeln
kindness,恩,Güte,Wohltat
recall (v.),憶,sich erinnern,
daughter-in-law,媳,Schwiegertochter,
put out,熄,löschen,
Chinese harp,瑟,chinesische Harfe,
secrete,泌,absondern,
honey,蜜,Honig,
rub (v.),摩,reiben,massieren
moth,蛾,Motte,
pick pockets (v.),扒,Taschendiebstahl begehen,
button (n./v.),扣,zuknöpfen,knöpfen
contribute,捐,spenden,
racquet,拍,Schläger,
clapping sound,啪,Knall,Patsch
damage (v.),損,beschädigen,
carry over the shoulder,扛,schultern,auf der Schulter tragen
prick (v.),扎,piksen,stechen
thumb,拇,Daumen,
detain,拘,verhaften,festhalten
copy (v.),抄,kopieren,abschreiben
pioneer (v.),拓,erschließen,
pinch (v.),捏,kneifen,
chafe,撓,scheuern,
smear on,抹,beschmieren,auftragen
describe,描,beschreiben,schildern
grope,摸,tasten,begrapschen
foment,挑,schüren,
tether (v.),拴,anbinden,
tidy up,拾,aufräumen,aufheben
put up,搭,hochziehen,aufbauen
pillage (v.),掠,plündern,
abandon,捨,etw. aufgeben,verlassen
wipe away,拭,wegwischen,
yank (v.),扯,zerren,reißen
drag (v.),拖,hinter sich herziehen,
publicize,揚,bekanntmachen,herausposaunen
engage in,搞,betreiben,befassen mit
bump into,撞,zusammenstoßen,rammen
handpick,摘,auswählen,handverlesen
lash together,捆,verschnüren,zusammenbinden
joggle (v.),撼,rütteln,
harass,擾,belästigen,
act without authority,擅,eigenmächtig,
altar,壇,Altar,
tremble,顫,zittern,
rude,莽,rüde,
take precautions against,戒,sich in Acht nehmen,
weapon,械,Waffe,
warn,誡,warnen,ermahnen
dash (v.),奔,spurten,flitzen
spurt (v.),噴,sprühen,herausschießen
tomb,墳,Grabhügel,letzte Ruhestätte
indignation,憤,Entrüstung,
stuff (n.),材,Material,Grundstoff
pregnant,孕,schwanger,
throw away,扔,wegwerfen,
trash (n.),圾,Abfall,
fork (n.),叉,Gabel,
mulberry tree,桑,Maulbeerbaum,
voicebox,嗓,Kehle,Stimmapparat
outlaw (n.),寇,Räuber,Plünderer
knock (v.),敲,klopfen,
pour into,灌,eingießen,einfüllen
authority,權,Befugnis,Recht
resolute,毅,resolut,
limb,肢,Gliedmaße,
prostitute,妓,Prostituierte,
fork in the road,歧,Weggabelung,
fins,翅,Flosse,
graceful,淑,anmutig,liebenswürdig
spice plant,椒,Pfefferpflanze,
queen,后,Kaiserin,
shield (n.),盾,Schild,
peddler,販,Hausierer,Straßenhändler
tug (v.),扳,ziehen mit Kraft,herumreißen
try to find,覓,nachspüren,aufspüren
appropriate (adj.),妥,angemessen,zweckmäßig
notice (v.),睬,beachten,zur Kenntnis nehmen
consent (v.),允,zustimmen,einwilligen
cross out,勾,ankreuzen,
promote,晉,befördern,aufsteigen
magnificent,宏,grandios,großartig
fetus,胎,Fötus,Embryo
smelt (v.),冶,verhütten,
typhoon,颱,Taifun,
negligent,怠,nachlässig,träge
elevate,抬,hochheben,emporheben
mislay,丟,verlegen,verlieren
Taiwan,臺,Taiwan,
bring about,致,herbeiführen,verursachen
remove,撤,entfernen,abschaffen
sulfur,硫,Schwefel,
glaze (n.),琉,Glasur,Emaille
sparse,疏,spärlich,locker verteilt
veggies,蔬,Gemüse,Grünzeug
crumble,崩,bersten,zusammenbrechen
rock,岩,Felsen,
rugged,崎,zerklüftet,
cliff,崖,Klippe,
charcoal,炭,Holzkohle,
carbon,碳,Kohlenstoff,
await hopefully,盼,sehnsüchtig erwarten,entgegenfiebern
promulgate,頒,offiziell verkünden,erlassen
essence,芬,Aroma,
play the part of,扮,mimen,sich verkleiden
diverge,岔,auseinanderlaufen,sich gabeln
extol,頌,rühmen,preisen
litigate,訟,prozessieren,vor Gericht gehen
elderly man,翁,Greis,alter Mann
abundant,裕,wohlhabend,reichlich vorhanden
banyan,榕,Banyanbaum,Feigenbaum
prize,賞,Auszeichnung,
attempt (v.),嘗,versuchen,ausprobieren
taste (v.),嚐,schmecken,kosten
palm of the hand,掌,Handfläche,
fend off,擋,abwehren,abblocken
chest,膛,Brust,Brusthöhle
quite,頗,recht,ziemlich
slope (n.),坡,Abhang,Steigung
drape over the shoulders,披,sich etw. überwerfen,um die Schultern legen
the other,彼,der andere,das Gegenüber
wrinkles,皺,Falten,
chick,雛,Küken,
hasten,趨,eilen,hasten
spinach,菠,Spinat,
breed (v.),殖,züchten,sich fortpflanzen
dissimilar,殊,abweichend,unterschiedlich
incomplete,殘,unvollständig,verstümmelt
grin (v.),咧,grinsen,das Gesicht verziehen
