one,一,eins,
jade,玉,Jade,
ball,球,Ball,
present (adj.),現,gegenwärtig,
play (v.),玩,spielen,
crazy,狂,verrückt,
emperor,皇,Kaiser,
resplendent,煌,strahlend,
submit,呈,einreichen,
whole,全,ganz,
logic,理,Logik,
lord,主,Herr,
pour,注,eingießen,
gold,金,Gold,
copper,銅,Kupfer,
go fishin‘,釣,angeln,
needle (n.),針,Nadel,
nail (n.),釘,Nagel,
inscription,銘,Inschrift,
at ease,鎮,gelassen,
way,道,Weg,
guide (v.),導,leiten,führen
speedy,迅,rasch,
create,造,erschaffen,
patrol (v.),巡,patrouillieren,
stroll (v.),逛,einen Bummel machen,
car,車,Wagen,
one after another,連,aufeinanderfolgend,
lotus,蓮,Lotus,
in front,前,vor,
shears,剪,Schere,
transport (v.),輸,transportieren,
exceed,逾,überschreiten,
each,各,je,
pattern,格,Muster,
guest,客,Gast,
forehead,額,Stirn,
summer,夏,Sommer,
L.A.,洛,Los Angeles,
fall (v.),落,landen,
superfluous,冗,überflüssig,
profound,沉,tiefgründig,
army,軍,Armee,
radiance,輝,(Licht-)glanz,
carry,運,überbringen,befördern
crown (n.),冠,Krone,
dream (n.),夢,Traum,
pit (n.),坑,Grube,
tall,高,hoch,
enjoy,享,genießen,
ripe,熟,reif,
pavilion,亭,Pavillon,
shiny,亮,leuchtend,
capital,京,Hauptstadt,
cool,涼,kühl,
scenery,景,Landschaft,
at once,就,sofort,
circumference,周,Umfang,
week,週,Woche,
soldier,士,Soldat,
lucky,吉,glücksbringend,
buy (v.),買,kaufen,
sell,賣,verkaufen,
book (n.),書,Buch,
drawing (n.),畫,Zeichnung,
scratch (v.),劃,ritzen,
attack (v.),攻,angreifen,
fail,敗,scheitern,
deliberately,故,absichtlich,
rescue (v.),救,retten,
revere,敬,verehren,
spacious,敞,geräumig,
say,言,sagen,
police (n.),警,Polizei,
plan (n.),計,Plan,
prison,獄,Gefängnis,
condemn,討,anprangern,
instruction,訓,Unterweisung,
talk (n.),話,Rede,
poem,詩,Gedicht,
language,語,Sprache,
read (v.),讀,lesen,
tune (n.),調,Melodie,
discuss,談,diskutieren,
this,這,dieses,
style (n.),式,Stil,
test (n./v.),試,probieren,
halberd,戈,Hellebarde,
or,或,oder,
burglar,賊,Dieb,
laden,載,beladen,
iron (n.),鐵,Eisen,
lush,茂,dicht wachsend,
turn into,成,werden zu,
city,城,Stadt,
sincere,誠,Aufrichtigkeit,
might (n.),威,Macht,
destroy,滅,vernichten,
everybody,咸,alle,
reduce,減,reduzieren,
list (n.),單,Liste,
war (n.),戰,Krieg,
coin (n.),錢,Münze,
shallow,淺,seicht,
cheap,賤,billig,
stop (v.),止,stoppen,
footstep,步,Schritt,
ford (v.),涉,durchwaten,
repeatedly,頻,wiederholt,
agree,肯,einverstanden sein,
look forward to,企,auf Zehenspitzen stehen,ersehnen
years of age,歲,Lebensjahr,
military (adj.),武,militärisch,
levy (n.),賦,Besteuerung,
correct (v./adj.),正,korrekt,
politics,政,Politik,
settle on,定,beschließen,
walk (v.),走,laufen,
transcend,超,super-,
surpass,越,übertreffen,je mehr … desto …
be,是,sein,
topic,題,Thema,
build,建,bauen,
prolong,延,verlängern,
nativity,誕,Geburt,
clear (adj.),楚,klar,
foundation,礎,Fundament,
clothing,衣,Kleidung,
inside,裡,innen,das Innere
grief,哀,Kummer,
Yuan,袁,Yuan,
distant,遠,weit weg,
bad,壞,schlecht,
elementary,初,elementar,
towel,巾,Tuch,
cloth,布,Stoff,
hat,帽,Hut,
curtain,幕,Vorhang,
cotton,棉,Baumwolle,
help (v.),幫,helfen,
market (n.),市,Markt,
lungs,肺,Lunge,
sash,帶,Gurt,
stagnant,滯,stagnieren,
thorn,刺,Dorn,
system,制,System,
manufacture (v.),製,herstellen,
utter (v.),云,sagen,äußern
rain (n.),雨,Regen,
cloud (n.),雲,Wolke,
thunder (n.),雷,Donner,
electricity,電,Elektrizität,
frost (n.),霜,Raureif,
ice (n.),冰,Eis,
winter,冬,Winter,
heavens,天,Himmel,
