KEYWORD	TRANSLATION_01	TRANSLATION_02	TRANSLATION_03	TRANSLATION_04	TRANSLATION_05	TRANSLATION_06	TRANSLATION_07	TRANSLATION_08	TRANSLATION_09	TRANSLATION_10	TRADITIONAL	SIMPLIFIED	
treat (v.)	sich aufhalten	bleiben	verweilen	behandeln	mit jm umgehen								
toward	(in Richtung) auf, nach, zu	gen	nach										
tiny	winzig												
street	Straße												
morality	Tugend	Moral	Sittlichkeit	Deutschland									
listen	hören	anhören	zuhören										
hall	Halle	großer Raum											
standing grain	auf dem Feld stehendes Getreide	Getreide											
journey (n.)	Reise	Reiseabschnitt	Reiseroute	Entfernung	Strecke								
harmony	Harmonie	Frieden	mild	mäßig	gemäßigt								
shift (v.)	versetzen	wegrücken	bewegen	verlagern	verlegen	verschieben							
autumn	Herbst												
gloomy	besorgt	beunruhigt	bekümmert	betrübt	Sorge	Kummer							
profit (n.)	Profit	Gewinn	Vorteil	Nutzen	scharf	spitz	günstig	vorteilhaft					
perfume (n.)	wohlriechend	aromatisch	duftend	Parfüm									
seasons (n.)	Jahreszeit	Saison	Ernte										
committee	jm. mit etw. beauftragen	Komitee	Kommission	betrauen									
elegant	(Getreide) Blütenstände ausbilden	in die Ähren schießen	hübsch	schön	vortrefflich	hervorragend							
penetrate	durchdringen	durch etw. dringen	durchsickern	durch und durch									
entice	verführen	verlocken	verleiten										
experience (n./v.)	durchlaufen	erleben	durchmachen										
rice	Reis												
lost	irregehen	verirren	herumirren	sich nicht orientieren können	für etw. schwärmen	Fan							
riddle	Rätsel	Mysterium	Geheimnis										
kind (n.)	Art	Sorte	Typ	Kategorie									
bamboo	Bambus												
laugh (v.)	lachen												
box (n.)	Kiste	Kasten	Koffer										
pen	Schreibzeug	Stift	Strich										
etc.	warten	und so weiter											
calculate	rechnen												
answer (v.)	antworten	entgegnen	erwidern										
strategy	Taktik	Sporn	anstacheln	anspornen									
person	Mensch	Person											
prisoner	Gefangener	Häftling	einkerkern	einsperren	ins Gefängnis stecken								
portion	Teil	Anteil	Portion										
occupy	einnehmen	ausmachen	innehaben	etw. in Besitz nehmen	erobern	sich aneignen							
furniture	Möbel	Mobiliar	Hausrat										
you	du												
you (respectful)	Sie												
what?	was												
strip (n.)	Streifen	schmaler und langer Gegenstand											
value (n.)	Wert												
make	machen	herstellen											
however	aber	doch	dennoch										
dwell	wohnen	leben											
position (n.)	Stand	Stellung	Rang										
piece	Stück												
still (adv.)	(immer) noch	noch	weiterhin	(wie vorher) bleiben	beim alten bleiben	wie sonst							
he	er												
rest (v.)	sich ausruhen	ruhen	mit etw. aufhören	etw. ruhen lassen									
faith	Vertrauen	glauben	wahr	richtig	echt	Brief							
depend on	abhängen	abhängig sein											
example	Beispiel	Exempel											
individual	Stück	individuell	jeder für sich	einzeln									
healthy	gesund	stark											
halt (v.)	stehenbleiben	stillstehen	aufhören	anhalten	innehalten								
upside down	umkehren	etw. ins Gegenteil verkehren	rückwärts	umgekehrt	verkehrt herum								
benevolence	Wohlwollen	Herzensgüte	Gutherzigkeit	Humanität									
excellent	ausgezeichnet	vorzüglich	exzellent										
wound (n.)	Wunde												
safeguard (v.)	schützen	verteidigen	etw. in Sicherheit bringen	gewährleisten	garantieren	versichern							
fort	Fort	Befestigungsanlage	Festung	Burg									
pay (v.)	zahlen	bezahlen	geben	übergeben	überlassen								
government office	Regierungssitz	Residenz											
bow one‘s head	den Kopf neigen												
substitute for	an js Stelle treten	ersetzen	geschichtliche Periode	Zeitalter	Generation								
bag (n.)	Tasche	Beutel	Sack	Tüte									
transform	verändern	umwandeln	verwandeln	zu etw. werden									
flower (n.)	Blume												
commodities	Ware	Artikel	Güter										
whatwhichwhowherewhy?	werwelchewannwowarum?												
convenient	bequem	günstig	dienlich	angenehm	nicht formell	zwanglos							
100 Chinese inches	Zhang	3 1/3 Meter	100 chinesische Zoll										
use (v.)	anwenden	verwenden	gebrauchen	einsetzen	lassen	bewirken							
long time	lange	lange Zeit											
Chinese acre	Mu	1/15 Hektar	chinesischer Morgen										
third	das dritte	der dritte der zehn Himmelsstämme											
handle (n.)	Griff	Stiel											
meat	Fleisch												
rotten	verfaulen	verderben	Bohnenkäse										
multitude	eine Menge Menschen	Massen											
sit	sitzen												
seat (n.)	Sitz	Platz											
examine	prüfen	untersuchen	sich zügeln	Selbstdisziplin haben									
face (n.)	Gesicht												
come	kommen												
wheat	Weizen	Sammelname für Weizen, Gerste, Hafer usw.											
drink (v.)	trinken												
thirsty	durstig												
appoint	ernennen	einsetzen	jn mit einem Amt betrauen	eine Funktion innehaben	eine Funktion ausüben								
royal court	Hof eines feudalen Herrschers	Regierungssitz eines Monarchen											
court of law	Gerichtshof												
by means of	mit	mittels	durch										
similar	ähnlich sein	ähneln											
combine (v.)	verschmelzen	verbinden	zusammenlegen	zusammenfassen	zusammenschließen	fusionieren	vereinigen						
piece together	zusammenstückeln	zusammensetzen											
spine	???	Lü	musikalische Note										
associate (n.)	Kamerad	Gefährte	Partner										
glory (n.)	Ruhm	Glorie	Ehre	gedeihen	florieren								
labor (n.)	Arbeit	arbeiten											
camp	Lager	Feldquartier	Baracke	Kaserne	Truppenunterkunft								
virtuous	gut	gutherzig	mildtätig										
year	Jahr												
night	Nacht												
liquid	Flüssigkeit	Saft											
call out (v.)	laut rufen	herbeirufen											
exchange (v.)	tauschen	austauschen	eintauschen	umwechseln	wechseln	tauschen							
travel (v.)	reisen												
execute	ausführen	durchführen											
go swimming	schwimmen												
tour (v.)	herumfahren	wandern	bereisen										
not	nicht	nicht …!											
suddenly	plötzlich	vernachlässigen	übersehen	ignorieren									
thing	Ding	Gegenstand											
easy	leicht												
grant (v.)	gewähren	verleihen	schenken										
corpse	Leiche	Leichnam	sterbliche Überreste										
nun	buddhistische Nonne												
woolen cloth	Wollstoff	Wollgewebe											
mud	Schlamm												
habitation	Haus	Zimmer	Raum										
grip (v.)	fassen	etw. in der Hand halten											
reside	wohnen	leben											
saw (n.)	Säge	sägen											
story	Schicht	Schichtung											
bureau	Amt	Büro	Behörde	Schachbrett	Partie	Satz							
door	Tür	Tor	Familie	Haushalt	Konto								
domicile	Haus	Zimmer	Raum										
hire (v.)	jn einstellen	jn in Dienst nehmen	mieten										
look back	sich herumdrehen und schauen	sich umsehen	auf etw. Rücksicht nehmen	berücksichtigen									
show (v.)	zeigen	etw. zur Schau tragen											
society	Gesellschaft	Vereinigung	Verein	(dem Erdgott) Opfer darbringen									
inspect	sehen	jn/etw. als … ansehen	inspizieren										
happiness	Glück	Segen	Glückseligkeit										
prohibit	verbieten	untersagen	Tabu										
front of a garment	Vorderteil eines Kleidungsstücks												
religion	Ahn	Ahnherr	Vorfahr	Sippe	Clan	Sekte	großer Meister	Vorbild	Schule				
worship (v.)	hoch	aufragend	erhaben	hochschätzen	achten	verehren							
offer sacrifice	etw. zum Opfer bringen	opfern	eine Gedenkfeier veranstalten										
scrutinize	untersuchen	etw. genau prüfen	(prüfend) in etw. Einblick nehmen										
scrub	reiben	schaben	sich schürfen	reibend streichen	abwischen	trockenwischen	streifen						
wherefore (n.)	Veranlassung	Grund	Ursache										
take out	herausziehen	herausnehmen	(einen Teil) wegnehmen										
oil	Öl												
first	der erste der zehn Himmelsstämme	das erste	das beste	erstklassig									
pawn (v.)	verpfänden	etw. als Pfand geben	unterschreiben	unterzeichnen	eskortieren								
express (v.)	erzählen	erklären	aussprechen	Tierkreiszeichen Affe									
extend	strecken	dehnen											
gods	Gott	Gottheit	Geist	Seele	Energie								
fruit	Frucht												
lesson	Unterricht	Vorlesung	Übung	Fach	Kursus	Lektion							
granule	Kügelchen	kleiner und runder Gegenstand	Körnchen	granulum	Korn								
catty (n.)	Pfund	Jin											
place (n.)	Sitz	Platz	Stelle										
near	nah												
hew	abhacken	abschlagen	abschneiden										
temporary	von kurzer Dauer	kurze Zeit	eine kleine Weile	vorläufig 	zeitweilig	vorübergehend							
gradually	allmählich	nach und nach	zunehmend										
quality (n.)	Qualität	Natur	Eigenschaft	Charakter	Wesen								
reprimand (v.)	tadeln	jn/etw. öffentlich rügen	brandmarken	vorwerfen									
accuse	mitteilen	informieren	seinem Herzen Luft machen	beschuldigen	anklagen								
for the first time	anfänglich	zu Anfang	zu Beginn	zum ersten Mal									
how?	wie	warum											
yesterday	gestern												
do	tun	machen	schreiben	verfassen	(künstlerisch) schaffen								
snow (n.)	Schnee												
anxious	es eilig haben	auf etw. brennen	ungeduldig										
seek	suchen	auf der Suche nach etw. sein	früher gebrauchtes Längenmaß, gleich acht Chi oder 2 2/3 m										
married woman	Frau	verheiratete Frau	Ehefrau										
sweep	kehren	fegen											
record (v.)	abschreiben	Protokoll führen	registrieren	einschreiben	eintragen	etw. auf Tonband aufnehmen	aufzeichnen						
commonplace (adj.)	gewöhnlich	mittelmäßig											
contend	kämpfen	ringen	wetteifern	streben	streiten								
clean (adj.)	sauber	rein											
matter	Sache	Angelegenheit											
Tang	Tang-Dynastie	Tang											
sugar	Zucker												
hale (adj.)	Gesundheit	Wohlbefinden											
overseer	Obervorsteher	Ortsvorsteher (in der alten Zeit)											
Queen Elisabeth	Queen Elisabeth	er oder sie											
monarch	Monarch	Herrscher	Gebieter										
skirt (n.)	Rock												
crowd (n.)	Menge	Gruppe	Herde	Schar									
and	und												
need (v.)	brauchen	bedürfen	etw. nötig haben										
Confucian	Konfuzianische Schule												
auspicious	Gutes verheißend	glückbringend	glücklich	glückhaft	Glück								
upright	aufrecht	richtig	etw. waagerecht halten	etw. waagerecht tragen									
bent	krumm	gekrümmt	gebeugt										
Big Dipper	der Große Bär	der Große Wagen	Dou (10 Liter)	Dou-Maß									
material (n.)	Material	Stoff											
academic discipline	Wissensgebiet	wissenschaftliche Disziplin	Lehrfach										
utilize	benutzen	anwenden	verwenden	gebrauchen									
times past	Vergangenheit	frühere Zeit											
borrow	entleihen	leihen	borgen										
mistaken	Fehler	Irrtum	falsch	irrtümlich	versehentlich								
scattered	verstreut	auseinander	sich lösen	sich lockern	auseinandergehen	lose							
scatter	streuen	ausstreuen	spritzen	verstreuen	zerstreuen	verschütten							
prepare	vorbereiten	bereiten	bereithalten	Vorkehrungen treffen									
twenty	zwanzig												
mat	Matte	Strohmatte	Sitz	Platz									
degrees	Grad												
ferry (n./v.)	übersetzen	überqueren	Fährstelle	Übergang									
half (n./adj.)	Hälfte	halb											
partner	Gefährte	Partner	Begleiter	Gesellschafter									
fat (adj.)	dick	beleibt	korpulent	dickleibig									
judge (v.)	unterscheiden	auseinanderhalten	beurteilen	entscheiden	verurteilen	ein Urteil fällen							
dependents	Familienangehörige(r)												
boxing (n.)	Faust	Boxen	Faustkampf										
victory	Sieg	die Oberhand gewinnen											
slice (n.)	Scheibe	Platte	kleines, flaches Stück										
printing plate	Druckplatte	Druckstock	Klischee	Matrize	Auflage	Ausgabe							
put on makeup	Make-up auflegen	sich schminken											
robust	stark	kräftig	verstärken	kräftigen									
hamlet	Dorf	Gut	Gehöft	Dörfchen									
attire (n.)	schmücken	sich verkleiden	Kleidung	Tracht									
General	General												
of	von												
weary	mangeln	müde	matt	erschöpft	abgespannt	abgenutzt	verbraucht						
blink (v.)	zwinkern	blinzeln											
no	nein	nicht											
negate	verneinen	nein sagen	nein										
cup	Becher	Tasse	Glas	Pokal									
dart (n.)	Pfeil												
tribe	Stamm	Sippschaft	Clan	Todesstrafe im alten China									
know	wissen	kennen	Bescheid wissen	Wissen	Kenntnis								
wisdom	Weisheit	Klugheit	weise	klug									
spear (n.)	Speer	Lanze											
gentle	weich	biegsam	geschmeidig	sanft	sanftmütig	lind							
knead	reiben	kneten											
tasks	Angelegenheit	Geschäfte											
fog	Nebel	Dunst											
bestow	geben	gewähren	jm etw. zukommen lassen	verleihen									
preface (n.)	Reihenfolge	Ordnung	Einleitung	Vorwort									
beforehand	vorher	im voraus											
wild (adj.)	wild	unkultiviert	ungezähmt	offenes Land	nicht an der Macht sein								
class (n.)	Klasse	Schulklasse	Team	Gruppe									
bow (n.)	Bogen												
draw (v.)	ziehen	anspannen											
strong	stark	kräftig											
weak	schwach												
bullet	Kugel	Kügelchen	Geschoss	Bombe									
Buddha	Buddha	Buddhismus											
expense	Gebühr	Kosten											
younger brother	jüngerer Bruder												
No.	Ordnungszahl												
adroit	geschickt	gewandt											
somebody	Rumpf	Körper	selbst	persönlich									
shoot (v.)	schießen	feuern											
thank	danken	sich bedanken											
old man	alt	betagt	Alte(r)	älterer Herr									
take an exam	eine Prüfung abhalten	eine Prüfung ablegen											
roast (v.)	backen	rösten	grillen										
filial piety	Kindespflicht	Pietät											
teach	lehren	unterrichten	beibringen	erziehen									
someone	jemand	jemand mit einer Eigenschaft	derjenige mit einer Eigenschaft										
-ing	gerade …	-nd											
pig	Schwein												
chase	verfolgen	nacheilen	jm nachsetzen	hinter jm her sein									
commander	Oberbefehlshaber	Oberkommandierender											
teacher	Lehrer	Meister											
lion	Löwe												
bureaucrat	Beamter	Staatsangestellter											
pipe	Rohr	Röhre	Leitung										
father	Vater												
mingle	mit jm Bekanntschaft schließen	mit jm Umgang pflegen											
effect (n.)	Effekt	Wirkung											
relatively	vergleichsweise	relativ	verhältnismäßig										
school (n.)	Schule												
lower leg	Fuß	Bein	genügend	genug	ausreichend								
run (v.)	laufen	rennen											
jump (v.)	springen	hüpfen											
path	Weg	Straße	Pfad										
dew	Tau	Saft	Sirup										
skeleton	Knochen	Gerüst	Gestell	Gerippe	Rückgrat	Wesensart	Charakter						
slippery	glatt	rutschig	schlüpfrig	gleiten	rutschen								
cross (v.)	hinübergehen	überschreiten	überqueren	passieren									
Apollo	Alpen												
aah!	Ah!												
occasion	Gelegenheit	aus Anlass	anlässlich	Grenze	Rand								
perilous	Gefahr	Risiko	schwer passierbare Stelle	enger Pass	Barriere								
as you wish	nach Belieben	beiläufig	nebenbei	folgen	sich fügen								
Yang	Yang												
exhibit (v.)	ausstellen	etw. zur Schau stellen											
ward off	verteidigen	schützen	sich in acht nehmen	Vorkehrungen treffen	vorbeugen	Damm	Deich						
attach	beifügen	beilegen											
Inst.	Hof	umzäuntes Grundstück	Regierungsinstitution	Institution	Anstalt	Anstalt des öffentlichen Lebens							
battle formation	Schlachtordnung	Front											
team	in Reih und Glied	Gruppe	Mannschaft	Team									
descend	fallen	sinken	senken	etw. sinken lassen									
stairs	Stufe	Treppenstufe											
hole	Höhle	Nest	Loch	Akupunkturpunkt									
research (v.)	erforschen	untersuchen	einer Sache auf den Grund gehen										
abruptly	plötzlich	vorspringend	Kamin	stürmen	vorstürmen								
empty	leer	hohl											
control (v.)	beherrschen	dominieren	herrschen										
border	Seite	Grenze	Grenzgebiet										
deep	tief												
spy (n.)	Detektiv	Kundschafter	Späher	auskundschaften	sondieren	etw. vorsichtig erkunden							
hill	Erdhügel	Hügelchen											
troops	Waffe	Kampfgerät	Soldat	Armee	Truppe								
silk	Seide												
line (n.)	Linie	Faden	Garn	Zwirn	Draht	Faser							
maintain	wahren	bewahren	aufrechterhalten	binden	zusammenhalten								
silk gauze	Vogelnetz	Fangnetz	mit einem Netz Vögel fangen	sieben (V.)	feines Sieb	dünner gazeartiger Seidenstoff							
continue	fortsetzen	fortfahren	weiterführen										
continuum	komplexes System	Zusammenhang											
give	geben	gewähren											
tie (v.)	knüpfen	knoten	schlingen	binden	Knoten								
end (n.)	Ende	Schluss											
rank (n.)	Rang	Ebene	Stufe	Grad	Klasse	Treppenstufe							
epoch	Zeitalter	Epoche	Periode										
red	rot												
make an appointment	sich verabreden	vereinbaren	abmachen	eine Verabredung treffen	Vereinbarung	Übereinkunft	Verabredung						
fine (adj.)	dünn	schmal	fein	winzig									
tight	straff	fest	dicht	hart									
weave (v.)	weben	flechten	stricken										
net (n.)	Netz												
green	grün												
curved (adj.)	krumm	gekrümmt	gebogen	gewunden									
bay (n.)	Flussbiegung	Flusskrümmung	Bucht	Meerbusen	Golf								
be enamored of	lieben	sich verlieben											
change (v.)	sich verändern	sich wandeln	ändern	verändern	umwandeln	zu etw. werden							
scripture	heilige Schrift	Kanon	kanonische Bücher	klassische Werke	Kette	Längsfaden	Kettenfaden	geografische Länge					
lightweight (adj.)	leicht												
behind	hinten	hinter	nach	danach	später								
how many?	wie viele												
machine	Maschine	mechanisches Werkzeug	Apparat	Gerät									
sever	abbrechen	abschneiden	brechen	zerbrechen	knicken								
carry on	fortsetzen	nachfolgen											
obvious	sichtbar	deutlich	offensichtlich										
music	Musik												
medicine	Medizin	Arznei	Medikament										
chicken	Huhn												
(suffix)	Suffix	Fragepartikel											
lineage	System	Fachbereich	Abteilung	Fakultät									
relate to	um etw. gehen	sich um etw. handeln	mit etw. zu tun haben	betreffen									
grandchild	Enkel												
withdraw	sich zurückziehen	rückwärts gehen											
foot	Fuß												
apparel	Kleidung	Kleid	Anzug	(Medizin) einnehmen	etw. auf sich nehmen	übernehmen							
fate	Leben	Schicksal	Los	Geschick									
stay (v.)	bleiben	verweilen	sich aufhalten										
slide (v.)	gleiten	rutschen	glatt										
chat (v.)	plaudern	sich unterhalten											
willow	Weide												
orders (n.)	Befehl	Erlass	Anordnung	Order									
cold	kalt												
zero	null	Null											
collar (n.)	Kragen	Hals											
communicate	verbinden	mit jm verkehren	in Verbindung stehen	benachrichtigen	informieren	bekanntgeben	jn von etw. in Kenntnis setzen						
courageous	mutig	kühn	tapfer	beherzt	verwegen								
criminal (n.)	gegen etw. verstoßen	übertreten	Verbrecher	begehen	verüben								
danger	Gefahr												
fragile	zerbrechlich	brüchig	spröde	knusprig	bröckelig								
print (n./v.)	drucken	kopieren	Abdruck	Siegel	Stempel								
excitement	Lust	Interesse	Freude										
liquor	alkoholische Getränke	Spirituosen											
distribute	zusammenmischen	zusammenstellen	paaren	eine Ehe schließen									
chieftain	Stammeshäuptling	Anführer	Chef	Häuptling									
venerate (v.)	ehren	hochachten	respektieren	älter	ranghöher	dienstälter							
abide by	folgen	befolgen	einhalten										
beans	Bohne												
head (n.)	Kopf												
short	kurz												
ceremony	Ritual	Zeremonie	Zeremoniell	Feier	Geschenk	Höflichkeit	Etikette						
body	Körper	Körperteil	Stoff	Substanz	Stil	Typ							
drum	Trommel												
joyful	Freude	sich freuen	glückliches Ereignis	fröhliche Feier	Freudentag	Schwangerschaft							
kitchen	Küche												
timber	Baum	pflanzen	anbauen										
blood	Blut												
exhausted	zu Ende	erschöpft	am Ende	nicht mehr weiter	äußerst								
to the utmost	möglichst	mit allen Mitteln	mit aller Kraft	ganz	äußerst	höchstens	innerhalb von						
lid	Deckel												
temperature	lauwarm	warm	Temperatur										
supervise	überwachen	beaufsichtigen	kontrollieren	Gefängnis	Haftanstalt								
basket	Korb												
blue	blau												
silver	Silber												
heel (n./v.)	Ferse	folgen											
very	sehr												
root (n.)	Wurzel												
immediately	sobald als	unmittelbar nachdem	unverzüglich	prompt	sofort	unmittelbar	sogleich	selbst	selbst wenn				
holiday	Fest	Feiertag	Gelenk	Glied	Knoten								
retreat (v.)	sich nach rückwärts bewegen	sich zurückziehen	zurückbewegen	zurückziehen	zurücktreten	abtreten	(Dienst usw.) quittieren						
leg	Bein												
limit (n./v.)	Grenze	Limit	Schranke	ein Limit setzen	beschränken	begrenzen	einschränken						
eyelet	Auge	Blick	kleines Loch	enge Öffnung									
high-quality (adj.)	gut	fein	gute Leute	von guter Qualität									
breakers	Welle	Woge	Brecher										
mom	Mutter	Frau	Tante	junge Frau									
food	essen	Mahlzeit	Essen	Essbare	Genießbare	Nahrungsmittel							
meal	Mahlzeit	tischfertig zubereitete Speisen	Nahrung	Essen									
dine	essen	speisen	eine Mahlzeit einnehmen	Nahrung zu sich nehmen									
Bldg.	Unterkunft für Gäste	Laden	Geschäft	Stätte für kulturelle Aktivitäten									
raise (v.)	ernähren	züchten	großziehen										
since	schon	bereits	wenn …, dann …	da									
approximate (adj.)	allgemein	im allgemeinen	ohne Ausnahme	ausnahmslos	kategorisch	überhaupt							
even (adj.)	eben	platt	flach										
evaluate	kommentieren	kritisieren	Kommentar	beurteilen	abschätzen								
level ground	ebene Fläche												
ooh!	Oh!												
shout (v.)	ausatmen	herausschreien	rufen	puffen	nennen	aufrufen							
hope (v.)	hoffen	wünschen	erwarten										
scarce	selten	wenig	rar	dünn	spärlich	licht							
study (v.)	lernen	studieren											
senses (n.)	empfinden	fühlen	spüren										
stir (v.)	umrühren	mischen	stören	belästigen									
sinister	unheildrohend	verhängnisvoll	unheilvoll	schlechte Ernte									
cruel	böse	furchterregend	Gewalttat	Mordtat									
bosom	Brust	Busen											
leave (v.)	verlassen	trennen	sich entfernen										
fowl	Vögel												
peppery	scharf	beißend	hart	mühsam	Leiden								
manage	handeln	erledigen	besorgen	veranstalten	verwalten								
dispute (v.)	erörtern	disputieren	debattieren										
partition (n.)	Wand	Mauer											
evade	ausweichen	vermeiden	meiden										
new	neu												
fuel	Brennholz	Reisig											
relatives	Elternteil	Blutsverwandter	Verwandter										
inner garments	füttern	Futterstoff einnähen	Futterstoff										
good fortune	sich gratulieren können	zum Glück	glücklicherweise	Glück									
clench (v.)	halten	packen	etw. in der Hand haben	innehaben	ausüben								
newspaper	Zeitung	mitteilen	Bericht erstatten	benachrichtigen									
call (v.)	rufen	ausrufen	schreien	heißen	bedeuten	nennen	anreden						
receive	entgegennehmen	aufnehmen	annehmen	empfangen									
land (n.)	Festland												
force (n.)	Macht	Einfluss	Stärke	Wucht	Trend	Tendenz							
heat (n./v.)	Wärme	heiß	warm										
technique	Geschicklichkeit	Kunstfertigkeit	Kunst										
sign of the pig	Tierkreiszeichen Schwein												
nucleus	Kern	Stein											
tot	Kind												
carve	schnitzen	Viertelstunde	Moment										
should	sollen	müssen											
narrate	schildern	erzählen	darlegen	berichten									
art	Können	Kunst	Technik										
kill	töten												
aid (v.)	helfen	assistieren											
yield	lassen	nachgeben	jm einen Vorteil überlassen	jm den Vortritt lassen	zulassen	jm etw. überlassen	jm etw. abtreten	erlauben					
territory	Erdreich	Boden	Gebiet										
frigid	kalt												
competition	Wettkampf												
poison (n.)	Gift												
vegetarian diet	pflanzliche Nahrungsmittel												
blue or green	blau	grün	grün-blau										
refined	raffiniert	verfeinert	erlesen	ausgesucht	Extrakt	Essenz							
invite	bitten	ersuchen	engagieren	einladen									
feelings	Gefühl	Gemütsbewegung	Gefühlsregung	Sexualtrieb									
eyeball	Augapfel												
pure	klar	sauber	durchsichtig	rein									
quiet	still	ruhig	friedlich	geräuschlos									
responsibility	Pflicht	Verantwortung											
accomplishments	Verdienst	Tat	Leistung	Hanfgarn zwirnen									
accumulate	aufhäufen	anhäufen	ansammeln										
surface (n.)	Oberfläche	Außenseite											
watch (n.)	Uhr	am Körper getragene Uhr	Armbanduhr										
life	gebären	Leben	Existenz										
star (n.)	Stern												
surname	Familienname	Sippenname											
sex	Geschlecht												
harm (n./v.)	schädlich	schädigen	Schaden										
cut off (v.)	schneiden	mähen											
intelligent	klug	weise	intelligent	scharfsinnig									
plentiful	reichlich	üppig	im Überfluss										
springtime	Frühling												
tranquil	heil	friedlich	Thailand										
proffer (v.)	etw. höflich überreichen	etw. mit Ehrerbietung schenken	jm etw. mit höflicher Zurückhaltung anbieten										
cudgel (n.)	Stock	Stange	Knüppel	Keule									
diligent	fleißig	arbeitsam	emsig	unermüdlich									
careful	behutsam	vorsichtig	sorgfältig										
merely	nur	bloß	erst										
Han	Han	Han-Nationalität	Han-Dynastie										
difficult	schwer	schwierig											
vendor‘s stand	ausbreiten	auslegen	offener Verkaufsstand	Stand	Verkaufsstand	einen Anteil tragen							
splendor	prächtig	prunkvoll	luxuriös	extravagant	China								
clamor (n.)	Lärm	Geräusch	Getöse										
droop	herabhängen	nach unten hängen											
hammer (n.)	Hammer												
sleep (v.)	schlafen												
now	Gegenwart	gegenwärtig	heute	jetzt	 nun								
harbor (v.)	etw. im Mund haben	enthalten	hegen	zurückhalten									
miss (v.)	an jn/etw. denken	gedenken	vermissen	Gedanke	vorlesen								
Yin	Yin												
shady	schattig	feucht und kühl											
west	Westen												
want (v.)	wollen	etw. haben (bzw. tun) wollen	nach etw. verlangen										
waist	Taille	Hüfte											
ticket	Karte	Zettel	Wahlzettel										
drift (v.)	(im Wasser) treiben	treiben	dahintreiben	von der Strömung getragen werden									
mark (n.)	Marke	Kennzeichen	Merkmal										
merchant	Kaufmann												
price	Preis	Wert											
smoke (n.)	Rauch	in die Augen beißen											
south	Süden												
gate	Tor	Tür	Eingang										
(plural)	Plural	(Plural)											
leisure	unbeschäftigt	müßig	frei haben										
ask	fragen	befragen	sich nach etw. erkundigen										
interval	Zwischenraum	Lücke	Zwischenzeit										
simple	einfach	unkompliziert											
open (v.)	öffnen												
hear	hören	Neuigkeit	Nachricht	riechen									
storehouse	Aufbewahrungsort	Stapelplatz	Kornkammer	Kornspeicher	Speicher	Magazin	Lager	Vorratshaus					
gun	Gewehr	Büchse	Feuerwaffe										
initiate (v.)	(erstmals) erzielen	erzielen	erreichen	etw. zustande bringen									
non-	nicht entsprechen	nicht in Einklang stehen	nicht										
row (n.)	reihen	ordnen	Reihe										
guilt	Verbrechen	Sünde	Schuld										
lean on	an … lehnen	sich anlehnen	sich auf … stützen										
marquis	Fürst	zweithöchster Adelsrang unter den fünf Rängen in alter Zeit											
wait (v.)	warten	abwarten	erwarten	Zeit									
decide	entscheiden	beschließen	bestimmen	hinrichten									
fast (adj.)	schnell	rasch											
chopsticks	Essstäbchen												
tanned hide	Leder												
surround	umgeben	einschließen	umkreisen	umzäunen	rings	ringsherum	rundum						
great	groß	bedeutend											
defend	verteidigen	beschützen	sichern	bewahren									
offend (v.)	jn verletzen	jn vor den Kopf stoßen	jm zu nahe treten	Schild									
shore	Ufer	Küste											
trunk	Hauptteil	Stamm	Rumpf	Rückgrat	tun	machen							
drought	Trockenheit	Dürre											
hurry (v.)	einholen	aufholen	etw. zu erreichen versuchen	sich beeilen, um etw. nicht zu versäumen	sich beeilen								
Yu	Yu												
eaves	Dachtraufe	Dachrinne	Weltraum	Universum	Kosmos								
moi	ich												
excess	übrig	überflüssig	verbleibend	restlich	überschüssig								
eliminate	loswerden	entfernen	ausmerzen	beseitigen									
route (n.)	Weg	Strecke											
bundle up	binden	schnüren	Bündel	binden	beherrschen	zügeln	einschränken						
quick	schnell	geschwind	rasch	Tempo	Geschwindigkeit								
spicy hot	beißend	scharf											
entire	ganz	gesamt	vollkommen	vollständig	ordentlich	geordnet	akkurat	sauber	reinlich	gepflegt			
practice (v.)	üben	trainieren	weiße Seide	Rohseide kochen									
opt for	auswählen	aussuchen	auslesen										
heavy	Gewicht	schwer	gewichtig	hoch	wichtig								
understand	verstehen	begreifen	kapieren	Bescheid wissen									
move (v.)	sich bewegen	sich rühren											
species	Art	Spezies	Sorte	Rasse	Typ								
collide	Krach	Zusammenstoß	Kollision	Verkehrsader	Hauptverkehrsstraße								
illness	krank sein	erkranken	Krankheit	Beschwerde									
ache (v.)	Schmerz	Weh	Leiden										
insane	geisteskrank	verrückt	irrsinnig										
match (v.)	ebenbürtig sein	sich mit jm messen können											
region	Region	Zone	Gebiet	Bezirk	Distrikt								
hub	Türangel	Zentrum	Zentrale	Knotenpunkt									
Europe	Europa												
physician	Arzt	Doktor	Medizin	Gesundheitswesen									
look up to	das Gesicht nach oben richten	zu jm aufschauen	respektieren	bewundern									
greet	entgegenkommen	abholen	empfangen	begrüßen									
ascend	in die Höhe gehen	nach oben steigen	besteigen	ersteigen									
lamp	Leuchte	Lampe	Laterne										
evidence	nachweisen	beweisen	belegen	Beweis	Zeugenaussage	Zeugnis	Ausweis	Bescheinigung	Schein	Zertifikat			
send out	senden	absenden	aufgeben	schießen	abfeuern	ausstrahlen							
discard (v.)	aufgeben	fallenlassen	abschaffen	etw. ungültig machen									
shape (n.)	Form	Gestalt											
shadow (n.)	Schatten												
