KEYWORD	TRANSLATION_01	TRANSLATION_02	TRANSLATION_03	TRANSLATION_04	TRANSLATION_05	TRANSLATION_06	TRANSLATION_07	TRANSLATION_08	TRANSLATION_09	TRANSLATION_10	TRADITIONAL	SIMPLIFIED	
mail (v.)	verschicken	versenden	abschicken	absenden	schicken								
wealthy	Reichtum	reich	wohlhabend										
store up	speichern	aufbewahren											
tree	Baum	Holz	Nutzholz										
woods	Wald	Forst	Hain	Wäldchen									
forest	Wald	Forst											
plant (v.)	pflanzen	anbauen	setzen										
apricot	Aprikose												
dim-witted	dumm	dämlich	blöde	blöd									
withered	verdorrt	ausgedorrt	welk	verwelkt									
village	Dorf	Weiler	Siedlung										
one another	einander	gegenseitig											
notebook	Wurzel	Notizbuch	Heft										
case	Rechtsfall	Akte											
not yet	noch nicht												
last (n./adj.)	letzter Teil	Ende	letzter										
foam	Schaum												
flavor (n.)	Geschmack	Aroma	kosten	schmecken									
younger sister	jüngere Schwester												
investigate	prüfen	kontrollieren	untersuchen	nachschlagen	überprüfen								
sediment	Bodensatz	Abschaum	Rückstand										
dye (v.)	färben	anstecken	abtönen										
plum	Pflaume												
table	Tisch												
as if	wie	als ob											
grass	Gras												
suffering (n.)	bitter	Bitternis	Härte	Leiden	Schmerz								
wide	breit	weit											
leaf	Blatt												
nobody	keiner	niemand	nichts	nicht									
imitate	nachahmen	imitieren	Vorbild	Norm	Standard								
desert (n.)	Wüste												
grave	Grabmal	Grab											
seedling	Spross	Trieb	Setzling	Impfstoff									
aim (v.)	zielen	anvisieren											
portent	Vorzeichen	Anzeichen	Omen										
peach	Pfirsich												
pooch	Hund												
remarkable	besonders	vornehmlich	vor allem										
silent	stillschweigend	stumm	sprachlos										
sort of thing	so, wie das da												
cry (v.)	weinen	heulen	Tränen vergießen										
utensil	Gebrauchsgegenstand	Ware	Artikel	Utensilien									
stinking (adj.)	übelriechend	stinkend											
dog	Hund												
detest	verabscheuen	ablehnen	etw. nicht leiden können										
pressure (n.)	Druck	pressen	drücken	niederhalten									
cow	Rind	Kuh											
special (adj.)	ungewöhnlich	eigenartig	speziell	sonderbar									
declare	sagen	mitteilen	informieren	bekanntgeben									
vast	sehr groß	ausgedehnt	grandios										
before	eher	zuerst	erst	voraus									
wash (v.)	waschen	reinigen											
introduce	vorstellen	jn. bekannt machen											
world	Welt	Bereich	Reich	Kreise	Gebiet								
tea	Tee												
meeting	können	Sitzung	Konferenz	Chance	Gelegenheit								
fit (v.)	passen	zusammen											
ha!	ha, ha												
pagoda	Pagode	Turm	Säule										
king	König												
jade	Jade												
ball	Ball	Kugel											
present (adj.)	gerade jetzt	jetzt	zur Zeit	gegenwärtig									
play (v.)	spielen	sich vergnügen											
crazy	irre	verrückt											
emperor	Kaiser												
resplendent	leuchtend	glänzend	brillant	großartig									
submit	einreichen	Antrag	Eingabe	Gesuch									
whole	alle	gesamt	jedes	komplett	vollständig								
logic	Vernunft	Logik											
lord	Eigentümer	Meister	Herr										
pour	gießen												
gold	Gold												
copper	Kupfer												
go fishin‘	angeln	fischen											
needle (n.)	Nadel												
nail (n.)	Nagel												
inscription	Inschrift												
at ease	ruhig	gefasst	beruhigen	Marktflecken									
way	Dao	Weg											
guide (v.)	leiten	führen											
speedy	rasch	rapid	rapide										
create	machen	bauen	erbauen	erzeugen	erfinden								
patrol (v.)	patrouillieren												
stroll (v.)	spazieren	bummeln	flanieren										
car	Wagen	Fahrzeug											
one after another	aufeinanderfolgend	eins nach dem anderen	fortwährend	verbinden									
lotus	Lotus												
in front	vor	vorne	bevor										
shears	Schere												
transport (v.)	transportieren	verlieren											
exceed	überschreiten												
each	jeder												
pattern	Muster	Norm	Standard										
guest	Gast												
forehead	Stirn	Vorderseite											
summer	Sommer												
L.A.	Luo (Fluss)	Lausanne	John Locke										
fall (v.)	fallen	sinken											
superfluous	überflüssig	überzählig	belanglos	irrelevant									
profound	tief	sinken	untergehen										
army	Armee	Heer											
radiance	Glanz	heller Schein											
carry	sich bewegen	befördern	transportieren										
crown (n.)	Krone	Kopfbedeckung	Kappe										
dream (n.)	Traum												
pit (n.)	Grube												
tall	hoch												
enjoy	genießen	Gefallen finden an											
ripe	reif	gar	zubereitet	gekocht									
pavilion	Pavillon	Laube	Kiosk										
shiny	leuchtend	leuchten	scheinen										
capital	Hauptstadt												
cool	kühl												
scenery	Landschaft	Anblick	Szenerie	Szene	Bühnenbild								
at once	plötzlich	augenblicklich	sofort										
circumference	Umfang	Umkreis	Zirkel										
week	Woche												
soldier	Soldat	Gelehrter	Intellektueller										
lucky	glückverheißend	glücklich	günstig										
buy (v.)	kaufen												
sell	verkaufen												
book (n.)	Buch												
drawing (n.)	malen	zeichnen	Malerei	Bild	Zeichnung								
scratch (v.)	ritzen	kratzen											
attack (v.)	angreifen												
fail	unterliegen	verlieren	misslingen	scheitern									
deliberately	mit Absicht	absichtlich	vorsätzlich										
rescue (v.)	retten	helfen	Beistand leisten										
revere	achten	respektieren	ehren	verehren									
spacious	geräumig	weit	weitläufig	offen									
say	sagen	sprechen	Wort										
police (n.)	Polizei	Polizist											
plan (n.)	rechnen	kalkulieren	List	Taktik	Plan								
prison	Gefängnis	Kerker	Zuchthaus										
condemn	verurteilen	tadeln	verlangen	fordern	diskutieren								
instruction	Belehrung	Unterweisung	Norm	Standard	trainieren								
talk (n.)	Rede	Worte	Sprache										
poem	Gedicht	Lyrik											
language	Sprache												
read (v.)	lesen	vorlesen	laut lesen										
tune (n.)	Melodie	Akzent	Weise										
discuss	diskutieren	sprechen	sich unterhalten	besprechen									
this	dies												
style (n.)	Typ	Stil											
test (n./v.)	experimentieren	versuchen	probieren	testen									
halberd	Hellebarde	Hiebaxt											
or	oder												
burglar	Dieb	Räuber											
laden	beladen	mit etw. beladen sein	befördern										
iron (n.)	Eisen												
lush	üppig	reichlich	prächtig										
turn into	zu etw. werden	sich zu etw. entwickeln	beenden	vollenden									
city	Stadt	Stadtmauer											
sincere	aufrichtig	ehrlich	wahr										
might (n.)	Macht	Gewalt	Ansehen										
destroy	löschen	ausmachen	vernichten										
everybody	all	alle											
reduce	reduzieren	senken	vermindern	minus	abziehen								
list (n.)	Liste												
war (n.)	Krieg												
coin (n.)	Münze	Kupfermünze	Geld										
shallow	seicht	flach	oberflächlich										
cheap	billig												
stop (v.)	stoppen	anhalten	aufhören										
footstep	Schritt												
ford (v.)	durchwaten	waten	ein Gewässer überqueren	übersetzen									
repeatedly	wiederholt	Frequenz	häufig	immer wieder									
agree	übereinstimmen	zustimmen	einwilligen										
look forward to	auf Zehenspitzen stehen	herbeisehnen	sich erhoffen										
years of age	Lebensjahr	Alter											
military (adj.)	militärisch	martialisch	kriegerisch	kämpferisch									
levy (n.)	erteilen	verleihen	Grundsteuer	besteuern									
